project,short_label,title,domain,venue_format,elapsed_hours,missions,missions_done,missions_failed,engineer_rounds,review_continue,review_done,review_blocked,session_rolls,stage_advances,stage_rollbacks,stage_completions,recorded_cost_usd,academic_review_snapshots,layout_review_snapshots,infrastructure_review_snapshots,academic_score,layout_score,infrastructure_score,pipeline_complete,submission_assurance,final_pages,final_figures,final_tables,reviewer_questions
bench-fragile-leaderboard,Fragile leaderboard,From Leaderboard Ranks to Audited Decisions,Evaluation reliability,ACL/A4,20.82,10,4,6,28,19,3,12,13,7,0,1,35.2964,66,68,59,5.0,4.1,5,True,PASS,13,3,3,12
cv-compositional-match,Compositional match,When Structure Does Not Help,Vision--language matching,ACL/A4,137.5,74,63,11,156,44,62,14,17,7,0,1,122.1335,16,12,14,4.4,4.1,5,True,BLOCKED,11,1,2,12
cv-frontier,CV frontier,When a Frozen Gate Refuses to Adapt,Test-time adaptation,AAAI/Letter,54.54,41,20,21,103,60,20,26,12,17,5,1,339.8114,5,5,20,4.7,4.2,5,True,PASS,10,1,4,0
mm-gui-agent,GUI agent,Surface-Prior Selection for Training-Free GUI Reliability,Multimodal agents,ACL/A4,151.13,16,9,7,55,40,9,11,13,7,0,1,94.6252,10,11,10,4.4,4.2,5,True,PASS,11,1,3,10
mm-hallucination,MM hallucination,When Frozen Multimodal Hallucination Wrappers Fail,Multimodal hallucination,AAAI/Letter,163.56,81,69,12,174,94,69,17,29,26,9,2,467.7952,41,37,36,4.7,4.2,5,True,PASS,10,1,6,14
quant-vocab-matrix,Vocabulary matrix,When Vocabulary-Row Proxies Fail,Model quantization,ACL/A4,112.0,32,25,7,60,29,24,8,5,10,2,1,75.5728,10,8,8,5.0,4.1,5,True,PASS,10,1,3,12
