project,short_label,sequence,elapsed_hours,normalized_progress,direction,from_stage,to_stage
bench-fragile-leaderboard,Fragile leaderboard,1,0.0,0.0,advance,research,plan
bench-fragile-leaderboard,Fragile leaderboard,2,0.2315,0.011118,advance,plan,benchmark
bench-fragile-leaderboard,Fragile leaderboard,3,0.9297,0.044643,advance,benchmark,run
bench-fragile-leaderboard,Fragile leaderboard,4,4.6484,0.22322,advance,run,analysis
bench-fragile-leaderboard,Fragile leaderboard,5,7.6515,0.36743,advance,analysis,draft
bench-fragile-leaderboard,Fragile leaderboard,6,10.1995,0.489784,advance,draft,review
bench-fragile-leaderboard,Fragile leaderboard,7,20.0209,0.961413,advance,review,submission
bench-fragile-leaderboard,Fragile leaderboard,8,20.8245,1.0,complete,submission,submission
cv-compositional-match,Compositional match,1,0.0,0.0,advance,research,plan
cv-compositional-match,Compositional match,2,0.414,0.003011,advance,plan,benchmark
cv-compositional-match,Compositional match,3,1.0742,0.007812,advance,benchmark,run
cv-compositional-match,Compositional match,4,116.2752,0.845644,advance,run,analysis
cv-compositional-match,Compositional match,5,116.5625,0.847734,advance,analysis,draft
cv-compositional-match,Compositional match,6,117.1611,0.852087,advance,draft,review
cv-compositional-match,Compositional match,7,130.4261,0.948561,advance,review,submission
cv-compositional-match,Compositional match,8,137.4989,1.0,complete,submission,submission
cv-frontier,CV frontier,1,0.7193,0.013188,advance,research,plan
cv-frontier,CV frontier,2,0.9477,0.017376,advance,plan,benchmark
cv-frontier,CV frontier,3,2.4436,0.044802,advance,benchmark,run
cv-frontier,CV frontier,4,4.2889,0.078636,rollback,run,plan
cv-frontier,CV frontier,5,5.4567,0.100046,advance,plan,benchmark
cv-frontier,CV frontier,6,5.8453,0.107172,advance,benchmark,run
cv-frontier,CV frontier,7,6.9031,0.126567,rollback,run,plan
cv-frontier,CV frontier,8,34.8553,0.63906,advance,plan,benchmark
cv-frontier,CV frontier,9,35.3277,0.647721,advance,benchmark,run
cv-frontier,CV frontier,10,36.9384,0.677254,rollback,run,plan
cv-frontier,CV frontier,11,38.4177,0.704376,advance,plan,benchmark
cv-frontier,CV frontier,12,38.8091,0.711551,advance,benchmark,run
cv-frontier,CV frontier,13,40.5084,0.742708,rollback,run,plan
cv-frontier,CV frontier,14,43.0303,0.788946,advance,plan,benchmark
cv-frontier,CV frontier,15,43.5241,0.798,advance,benchmark,run
cv-frontier,CV frontier,16,44.5475,0.816763,advance,run,analysis
cv-frontier,CV frontier,17,44.7341,0.820184,advance,analysis,draft
cv-frontier,CV frontier,18,47.1026,0.863611,advance,draft,review
cv-frontier,CV frontier,19,51.1429,0.937687,advance,review,submission
cv-frontier,CV frontier,20,52.2952,0.958814,rollback,submission,draft
cv-frontier,CV frontier,21,52.393,0.960607,advance,draft,review
cv-frontier,CV frontier,22,54.3588,0.99665,advance,review,submission
cv-frontier,CV frontier,23,54.5415,1.0,complete,submission,submission
mm-gui-agent,GUI agent,1,3.5435,0.023447,advance,research,plan
mm-gui-agent,GUI agent,2,4.873,0.032245,advance,plan,benchmark
mm-gui-agent,GUI agent,3,120.1978,0.795352,advance,benchmark,run
mm-gui-agent,GUI agent,4,124.641,0.824753,advance,run,analysis
mm-gui-agent,GUI agent,5,124.9594,0.82686,advance,analysis,draft
mm-gui-agent,GUI agent,6,125.8638,0.832844,advance,draft,review
mm-gui-agent,GUI agent,7,126.352,0.836075,advance,review,submission
mm-gui-agent,GUI agent,8,151.1252,1.0,complete,submission,submission
mm-hallucination,MM hallucination,1,6.1476,0.037586,advance,research,plan
mm-hallucination,MM hallucination,2,7.7919,0.04764,advance,plan,benchmark
mm-hallucination,MM hallucination,3,105.8945,0.647438,advance,benchmark,run
mm-hallucination,MM hallucination,4,108.0338,0.660518,rollback,run,plan
mm-hallucination,MM hallucination,5,108.3488,0.662444,advance,plan,benchmark
mm-hallucination,MM hallucination,6,108.791,0.665148,advance,benchmark,run
mm-hallucination,MM hallucination,7,109.5174,0.669589,rollback,run,plan
mm-hallucination,MM hallucination,8,109.7282,0.670878,advance,plan,benchmark
mm-hallucination,MM hallucination,9,110.162,0.67353,rollback,benchmark,plan
mm-hallucination,MM hallucination,10,110.3992,0.67498,advance,plan,benchmark
mm-hallucination,MM hallucination,11,110.7664,0.677225,rollback,benchmark,plan
mm-hallucination,MM hallucination,12,111.0914,0.679212,advance,plan,benchmark
mm-hallucination,MM hallucination,13,111.5667,0.682119,rollback,benchmark,plan
mm-hallucination,MM hallucination,14,111.8074,0.68359,advance,plan,benchmark
mm-hallucination,MM hallucination,15,112.1902,0.68593,rollback,benchmark,plan
mm-hallucination,MM hallucination,16,112.4265,0.687375,advance,plan,benchmark
mm-hallucination,MM hallucination,17,112.8555,0.689998,rollback,benchmark,plan
mm-hallucination,MM hallucination,18,120.0245,0.733829,advance,plan,benchmark
mm-hallucination,MM hallucination,19,120.5125,0.736813,advance,benchmark,run
mm-hallucination,MM hallucination,20,122.5801,0.749454,advance,run,analysis
mm-hallucination,MM hallucination,21,123.1285,0.752807,advance,analysis,draft
mm-hallucination,MM hallucination,22,125.1665,0.765267,advance,draft,review
mm-hallucination,MM hallucination,23,127.6191,0.780262,advance,review,submission
mm-hallucination,MM hallucination,24,155.704,0.951974,rollback,submission,benchmark
mm-hallucination,MM hallucination,25,157.3545,0.962065,advance,benchmark,run
mm-hallucination,MM hallucination,26,157.5632,0.96334,advance,run,analysis
mm-hallucination,MM hallucination,27,157.9226,0.965538,advance,analysis,draft
mm-hallucination,MM hallucination,28,158.2487,0.967531,advance,draft,review
mm-hallucination,MM hallucination,29,159.3105,0.974024,advance,review,submission
mm-hallucination,MM hallucination,30,159.3129,0.974038,rollback,submission,benchmark
mm-hallucination,MM hallucination,31,159.6188,0.975909,advance,benchmark,run
mm-hallucination,MM hallucination,32,160.9659,0.984145,advance,run,analysis
mm-hallucination,MM hallucination,33,161.2676,0.985989,advance,analysis,draft
mm-hallucination,MM hallucination,34,161.4989,0.987403,advance,draft,review
